,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image
0,adidas,Mai 2022,adidas AG - Manager Level,not_recommended,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0
1,adidas,Mai 2022,Großer Konzern mit konservativen und veralteten Denkweisen,not_recommended,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0
2,adidas,Mai 2022,Super Campus aber intern politisch,not_recommended,4.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0
3,adidas,April 2022,"Große Marke, hohe Erwartungen",recommended,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0
4,adidas,April 2022,außen hui innen pfui,not_recommended,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0
5,adidas,April 2022,Arbeitgeber mit vielen Möglichkeiten und Benefits in toller Atmosphäre,recommended,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0
6,adidas,April 2022,Guter Arbeitgeber besonders für junge Leute,recommended,5.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0
7,adidas,April 2022,Volle Flexibilität um Vollzeit arbeiten zu können,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,adidas,März 2022,Lagerhelfer,not_recommended,1.0,1.0,3.0,2.0,2.0,5.0,2.0,,5.0,1.0,1.0,5.0
9,adidas,Februar 2022,ADIDAS WERK 2,not_recommended,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0
10,adidas,Februar 2022,Großes Verbesserungspotential im IT-Bereich,recommended,4.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,4.0
11,adidas,Februar 2022,Abwechslungsreiche Tätigkeiten in internationalem Umfeld,recommended,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0
12,adidas,Januar 2022,"Gutes Arbeitsverhältnis, dafür jedoch Mangel an Wertschätzung der Vorgesetzten",recommended,5.0,4.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0
13,adidas,Januar 2022,Guter arbeitgeber aber auch nicht gutes arbeitsverhalten,recommended,3.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0
14,adidas,Januar 2022,Immer noch gut aber mit Verbesserungspotential,recommended,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0
15,adidas,Dezember 2021,"Meine Arbeit mal stressig, mal ruhig!",recommended,4.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0
16,adidas,Dezember 2021,Es ist im ganzen ein gutes Praktikum,recommended,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0
17,adidas,Dezember 2021,Lehrreich und gute Menschen,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
18,adidas,Dezember 2021,Gut,recommended,5.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,,4.0,1.0,3.0
19,adidas,Dezember 2021,War ganz gut,recommended,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,,5.0,5.0,4.0
20,adidas,Dezember 2021,Sehr schlecht,recommended,5.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,,1.0,2.0,5.0
21,adidas,Dezember 2021,Das Praktikum hat sehr viel Spaß gemacht und mir neue Wege geschaffen,recommended,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,,4.0,5.0,4.0
22,adidas,Dezember 2021,Sehr gute Arbeitgeber,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0
23,adidas,Dezember 2021,Ich bin meistens motiviert und habe gute ideen,recommended,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0
24,adidas,Dezember 2021,Sehr freundliches Unternehmen und flexibel,recommended,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,,4.0,3.0,4.0
25,adidas,Dezember 2021,Alles gut,recommended,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
26,adidas,Dezember 2021,Sehr gut,recommended,5.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0
27,adidas,Dezember 2021,nett,not_recommended,1.0,1.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,1.0
28,adidas,Dezember 2021,Adidas hat mir sehr viele Möglichkeiten gegeben und mir die Arbeitswelt gut gezeigt,recommended,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0
29,adidas,Dezember 2021,Ich war sehr gut,recommended,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0
30,adidas,Dezember 2021,War top,not_recommended,4.0,3.0,1.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0
31,adidas,Dezember 2021,"es ist ein sehr gutes praktikum, dass ich sehr weiter empfehlen würde",recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
32,adidas,Dezember 2021,Sehr lehrreich,recommended,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,,2.0,3.0,4.0
33,adidas,Dezember 2021,"Es war mega gut,die Atmosphäre und das Kollegium war genial, alle haben mir geholfen wenn ich hilfe brauchte.",recommended,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0
34,adidas,Dezember 2021,Ich wollte mich bei ihnen bewerben,recommended,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0
35,adidas,Dezember 2021,Ist gut,not_recommended,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,3.0,2.0
36,adidas,Dezember 2021,I was a valuable member to the team with strong potential and areas I can improve in in order to reach said potential.,recommended,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
37,adidas,Dezember 2021,Insgesamt bin ich sehr zufrieden mit dem Praktikum,recommended,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
38,adidas,Dezember 2021,"Befriedigend: 2,8 von 5 Sternen",recommended,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0
39,adidas,Dezember 2021,Good internship and a lot of positive interactions,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
40,adidas,Dezember 2021,Das Praktikum war vom Bewerbungsprozess bis zum Off-boarding perfekt geplant,recommended,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
41,adidas,Dezember 2021,Quite good in general,recommended,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
42,adidas,Dezember 2021,Great,recommended,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0
43,adidas,Dezember 2021,this has been the best work experience I have ever had,recommended,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
44,adidas,Dezember 2021,"Good experience, my tasks and jobs were not like mentioned in the job description",not_recommended,2.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0
45,adidas,Dezember 2021,it was good,recommended,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
46,adidas,Dezember 2021,"Looks great on a CV, can use the the experience when applying for a new position",recommended,2.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0
47,adidas,Dezember 2021,Das Praktikum hat meiner persönlichen und professionellen Entwicklung sehr geholfen und ist definitic weiterzuempfehlen,recommended,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
48,adidas,Dezember 2021,great culturea and learning opportunities,recommended,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
49,adidas,Dezember 2021,"I have learn how the big cooperation works, its processes and improvements",recommended,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0
50,adidas,November 2021,Mehr Schein als sein,not_recommended,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0
