,Employer,Time,Comment,Overall,Interessante Aufgaben,Gleichberechtigung,Kommunikation,Arbeitsbedingungen,Vorgesetztenverhalten,Umgang mit älteren Kollegen,Kollegenzusammenhalt,Umwelt-/Sozialbewusstsein,Gehalt/Sozialleistungen,Karriere/Weiterbildung,Work-Life-Balance,Image,Arbeitsatmosphäre,Respekt,Variation,Spaßfaktor,Aufgaben/Tätigkeiten,Die Ausbilder,Ausbildungsvergütung,Arbeitszeiten,Karrierechancen,Arbeitgeber-Kommentar,Herausforderung,Arbeitgeber-Kommentare
0,adidas,Mai 2022,adidas AG - Manager Level,Nicht empfohlen,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,,,,,,,,,,,
1,adidas,Mai 2022,Großer Konzern mit konservativen und veralteten Denkweisen,Nicht empfohlen,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
2,adidas,Mai 2022,Super Campus aber intern politisch,Nicht empfohlen,4.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,,,,,,,,,,,
3,adidas,April 2022,"Große Marke, hohe Erwartungen",Empfohlen,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,,
4,adidas,April 2022,außen hui innen pfui,Nicht empfohlen,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,,,,,,,,,,,
5,adidas,April 2022,Arbeitgeber mit vielen Möglichkeiten und Benefits in toller Atmosphäre,Empfohlen,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,,,,,,,,,,,
6,adidas,April 2022,Guter Arbeitgeber besonders für junge Leute,Empfohlen,5.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,,,,,,,,,,,
7,adidas,April 2022,Volle Flexibilität um Vollzeit arbeiten zu können,Empfohlen,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
8,adidas,März 2022,Lagerhelfer,Nicht empfohlen,1.0,1.0,3.0,2.0,2.0,5.0,2.0,,5.0,1.0,1.0,5.0,2.0,,,,,,,,,,,
9,adidas,Februar 2022,ADIDAS WERK 2,Nicht empfohlen,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10,adidas,Februar 2022,Großes Verbesserungspotential im IT-Bereich,Empfohlen,4.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,3.0,1.0,2.0,4.0,2.0,,,,,,,,,,,
11,adidas,Februar 2022,Abwechslungsreiche Tätigkeiten in internationalem Umfeld,Empfohlen,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,,,,
12,adidas,Januar 2022,"Gutes Arbeitsverhältnis, dafür jedoch Mangel an Wertschätzung der Vorgesetzten",Empfohlen,5.0,4.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,3.0,,,,,,,,,,,
13,adidas,Januar 2022,Guter arbeitgeber aber auch nicht gutes arbeitsverhalten,Empfohlen,3.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,
14,adidas,Januar 2022,Immer noch gut aber mit Verbesserungspotential,Empfohlen,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,,,,
15,adidas,Dezember 2021,"Meine Arbeit mal stressig, mal ruhig!",Empfohlen,4.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,,,,,,,,,,,
16,adidas,Dezember 2021,Es ist im ganzen ein gutes Praktikum,Empfohlen,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,,,,,,,,,,,
17,adidas,Dezember 2021,Lehrreich und gute Menschen,Empfohlen,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
18,adidas,Dezember 2021,Gut,Empfohlen,5.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,,4.0,1.0,3.0,4.0,,,,,,,,,,,
19,adidas,Dezember 2021,War ganz gut,Empfohlen,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,,5.0,5.0,4.0,5.0,,,,,,,,,,,
20,adidas,Dezember 2021,Sehr schlecht,Empfohlen,5.0,1.0,5.0,3.0,5.0,1.0,5.0,2.0,,1.0,2.0,5.0,4.0,,,,,,,,,,,
21,adidas,Dezember 2021,Das Praktikum hat sehr viel Spaß gemacht und mir neue Wege geschaffen,Empfohlen,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,,4.0,5.0,4.0,4.0,,,,,,,,,,,
22,adidas,Dezember 2021,Sehr gute Arbeitgeber,Empfohlen,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,
23,adidas,Dezember 2021,Ich bin meistens motiviert und habe gute ideen,Empfohlen,3.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,,,,
24,adidas,Dezember 2021,Sehr freundliches Unternehmen und flexibel,Empfohlen,4.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,,4.0,3.0,4.0,4.0,,,,,,,,,,,
25,adidas,Dezember 2021,Alles gut,Empfohlen,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,,,,,,,,,,,
26,adidas,Dezember 2021,Sehr gut,Empfohlen,5.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,,,,,,,,,,,
27,adidas,Dezember 2021,nett,Nicht empfohlen,1.0,1.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,,,,,,,,,,,
28,adidas,Dezember 2021,Adidas hat mir sehr viele Möglichkeiten gegeben und mir die Arbeitswelt gut gezeigt,Empfohlen,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,,,,,,,,,,
29,adidas,Dezember 2021,Ich war sehr gut,Empfohlen,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,,,,,,,,,,,
30,adidas,Dezember 2021,War top,Nicht empfohlen,4.0,3.0,1.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,,,,,,,,,,,
31,adidas,Dezember 2021,"es ist ein sehr gutes praktikum, dass ich sehr weiter empfehlen würde",Empfohlen,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
32,adidas,Dezember 2021,Sehr lehrreich,Empfohlen,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,,2.0,3.0,4.0,3.0,,,,,,,,,,,
33,adidas,Dezember 2021,"Es war mega gut,die Atmosphäre und das Kollegium war genial, alle haben mir geholfen wenn ich hilfe brauchte.",Empfohlen,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,,,,,,,,,,,
34,adidas,Dezember 2021,Ich wollte mich bei ihnen bewerben,Empfohlen,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,,,,,,,,,,,
35,adidas,Dezember 2021,Ist gut,Nicht empfohlen,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,,4.0,3.0,2.0,4.0,,,,,,,,,,,
36,adidas,Dezember 2021,I was a valuable member to the team with strong potential and areas I can improve in in order to reach said potential.,Empfohlen,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,,,,,,,,,,,
37,adidas,Dezember 2021,Insgesamt bin ich sehr zufrieden mit dem Praktikum,Empfohlen,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,,,,,,,,,,,
38,adidas,Dezember 2021,"Befriedigend: 2,8 von 5 Sternen",Empfohlen,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,,,,,,,,,,,
39,adidas,Dezember 2021,Good internship and a lot of positive interactions,Empfohlen,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
40,adidas,Dezember 2021,Das Praktikum war vom Bewerbungsprozess bis zum Off-boarding perfekt geplant,Empfohlen,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,,,,,,,,
41,adidas,Dezember 2021,Quite good in general,Empfohlen,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,
42,adidas,Dezember 2021,Great,Empfohlen,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,,,,,,,,,,,
43,adidas,Dezember 2021,this has been the best work experience I have ever had,Empfohlen,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,,,,,,,,,,
44,adidas,Dezember 2021,"Good experience, my tasks and jobs were not like mentioned in the job description",Nicht empfohlen,2.0,5.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,5.0,,,,,,,,,,,
45,adidas,Dezember 2021,it was good,Empfohlen,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,
46,adidas,Dezember 2021,"Looks great on a CV, can use the the experience when applying for a new position",Empfohlen,2.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,,,,,,,,,,,
47,adidas,Dezember 2021,Das Praktikum hat meiner persönlichen und professionellen Entwicklung sehr geholfen und ist definitic weiterzuempfehlen,Empfohlen,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,
48,adidas,Dezember 2021,great culturea and learning opportunities,Empfohlen,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,,,,,,,,,,,
49,adidas,Dezember 2021,"I have learn how the big cooperation works, its processes and improvements",Empfohlen,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,
50,adidas,November 2021,Mehr Schein als sein,Nicht empfohlen,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,3.0,,,,,,,,,,,
51,adidas,Oktober 2021,Own the game - vergesst dabei nicht die Menschen,Empfohlen,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,,,,,,,,,,,
52,adidas,Oktober 2021,"Sehr anstrengend, wenig geld",Nicht empfohlen,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,4.0,,,,,,,,,,,
53,adidas,Oktober 2021,getting worse and worse each day...,Nicht empfohlen,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,,
54,adidas,September 2021,"Außen hui, innen pfui trifft den Nagel auf den Kopf",Nicht empfohlen,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
55,adidas,August 2021,Adidas ist ein guter Arbeitergeber und ist weiter zu empfehlen,Empfohlen,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,2.0,2.0,2.0,4.0,,,,,,,,,,,
56,adidas,Juli 2021,Super Team mit guten Vorgesetzten!,Empfohlen,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,
57,adidas,Juli 2021,Danke für diese Chance,Empfohlen,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,,,,,,,,,,,
58,adidas,Juli 2021,Es war einmal…,Nicht empfohlen,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
59,adidas,Juli 2021,"Außen hui, innen …",Nicht empfohlen,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
60,adidas,Juli 2021,Mehr Schein als Sein,Nicht empfohlen,1.0,2.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,,,,,,,,,,,
61,adidas,Juli 2021,Miserable Führungskultur,Nicht empfohlen,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,,,,,,,,,,,
62,adidas,Juli 2021,Nur Show und kein Sinn für Mitarbeite*rinnen,Nicht empfohlen,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,,,,,,,,,,,
63,adidas,Mai 2021,Change Project - Lauft so schnell ihr könnt,Nicht empfohlen,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
64,adidas,April 2021,"Toller Arbeitgeber mit vielen Möglichkeiten, es wird aber auch viel gefordert",Empfohlen,4.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,,,,,,,,,,,
