,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
0,hellofresh,Februar 2020,"A growing company full of talented, ambitious people",recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,,,5.0,1
1,merckaa,Januar 2022,Gut bezahlter Job!,recommended,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,1
2,infineon-technologies,Dezember 2021,"great employer, I am very pleased with my experience as a working student and I intend to work there for the next year",recommended,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,1
3,airbus,April 2021,Arbeitgeber ist sehr famiienfreundlich,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1
4,eon,Juli 2021,Stromversorgung als Wunschberuf,recommended,5.0,,5.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,1
5,daimler-truck3,November 2021,Guter Arbeitgeber bei fairen Sozialleistungen,recommended,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,1
6,deutsche-bank,Februar 2022,Gut: 3 von 5 Sternen,recommended,2.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,3.0,5.0,1.0,1.0,1
7,vonovia-se,April 2022,Toller Arbeitgeber aber Klima in Abteilung verbesserungswürdig,recommended,5.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,1
8,deutsche-post,Mai 2022,FLOP Unternehmen,not_recommended,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0
9,basf-se,November 2021,"Tolle Zusammenarbeit und berufliche Entwicklungsmöglichkeiten, leider zu wenig Gehalt!!!",recommended,3.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,1
10,pumagroup,April 2019,Coole Marke - Arbeiten in einem Internationalen Umfeld,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
11,fresenius-se,Juni 2017,Werkstudent Corporate Human Resources,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
12,porsche-gruppe,Februar 2022,Ambivalentes Befinden,recommended,4.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,1
13,henkel-aa,Januar 2021,Endlich angekommen!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
14,airbus,März 2021,Mehr schlecht als recht..,not_recommended,2.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,0
15,continental-gruppe,April 2022,Lasst die Finger davon!!!!,not_recommended,1.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,0
16,volkswagen,Dezember 2021,"Insgesamt war mein Praktikum erfolgreich, da ich neue Dinge gelernt habe. Zudem hab ich Berufserfahrung gesammelt",recommended,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,,4.0,5.0,5.0,1
17,adidas,August 2020,The internship was below my level of expertise. It was 'sold' to me by telling about very interesting tasks,recommended,2.0,3.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1
18,adidas,Dezember 2021,War ganz gut,recommended,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,,5.0,5.0,4.0,1
19,mtuaeroengines,April 2022,Traumjob gefunden,recommended,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1
20,deutsche-telekom,März 2022,Hungerlohn als Mitarbeiter der für die Telekom arbeitetet,not_recommended,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,0
21,linde,Oktober 2021,Leider geht es stetig bergab,not_recommended,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0
22,continental-gruppe,Mai 2022,Freie Zeiteinteilung und angenehme Atmosphäre,recommended,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,1
23,eon,April 2022,Definitiv ein Benchmark,recommended,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1
24,rwe,Juni 2019,Sehr gute Experience!,recommended,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,1
25,merckaa,Mai 2020,Tarifmitarbeiter mit sehr vielen Möglichkeiten. Unterstützung in allen Bereichen!,recommended,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1
26,symrise,Dezember 2021,Vorstellungsgespräch und kurzes Vorstellen beim Leiter,recommended,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,1
27,zalando,November 2021,Nicht schlecht!,not_recommended,1.0,1.0,3.0,2.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,0
28,fresenius-medical-care,Oktober 2018,Immer wieder gerne! NephroCare!,recommended,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1
29,continental-gruppe,Dezember 2021,Keine Zukunftsaussicht trotz guter Leistung,not_recommended,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,2.0,0
30,bmwgroup,April 2022,"Sehr guter Arbeitgeber, mit viel mehr Potential.",recommended,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1
31,symrise,Oktober 2021,Innovativer Arbeitgeber mit Potential,recommended,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,1
32,rwe,Mai 2020,"Traditionelles Unternehmen überraschend neumodisch, offen und dynamisch.",recommended,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,1
33,pumagroup,November 2018,Great support for trainees,recommended,,,,,,,,,,,,,1
34,siemens,Januar 2022,Super Arbeitgeber! Tolles Team,recommended,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,1
