,employer,record_date,comment,overall_result,interesting_tasks,equality,communication,working_conditions,supervisor_behavior,dealing_w_older_colleagues,colleague_cohesion,environmental_social awareness,salary_benefits,career_training,work_life_balance,image,overall_number
0,pumagroup,Februar 2020,"Spannendes Unternehmen, leider mit sehr intransparenten Vergütungssystem",recommended,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,3.0,1
1,sap,April 2022,Abwechslungsreiche und spannenden Aufgaben,recommended,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,1
2,infineon-technologies,Mai 2022,Erlebnis- und Informationsreiche Ausbildung,recommended,,,,,,,,,,,,,1
3,zalando,August 2021,Max. 1 Jahr länger möchte man dort nicht Arbeiten,not_recommended,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0
4,basf-se,Januar 2022,Wenig Geld für viel Stress,recommended,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,1
5,merckaa,Januar 2022,QA Manager bei Merck KGaA in Life Science,recommended,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,1
6,qiagen,Februar 2019,Katastrophales Management,not_recommended,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,0
7,basf-se,November 2021,Nicht zu empfehlen!,not_recommended,,4.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,0
8,bayer,Dezember 2021,Cool,recommended,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,3.0,4.0,1
9,bayer,April 2021,Gute Arbeitsbedingungen in konservativem Unternehmen mit hohem Altersschnitt,recommended,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,1
10,adidas,August 2020,Trotz Corona top,recommended,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,1
11,continental-gruppe,Mai 2022,Die Freiheit zu gestalten,recommended,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
12,basf-se,April 2022,Sehr hohe Belastung,not_recommended,4.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,0
13,infineon-technologies,Dezember 2021,"Schnell und unkompliziert, Ausschreibung über die Fakultät",recommended,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1
14,volkswagen,Februar 2022,Welt größter autobauer,recommended,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,1
15,merckaa,April 2021,Top Arbeitgeber!,recommended,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,1
